molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL1236962,0.04,nM,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,10.397940008672037,505.102016844,7,1,4.841400000000003,True
CHEMBL3577914,0.07,nM,COc1ncc(-c2ccc3nc(N)nc(-c4ccncc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,10.154901959985743,520.112915876,8,2,4.423600000000003,True
CHEMBL3577911,0.095,nM,COc1ncc(-c2ccc3ncnc(-c4ccncc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,10.022276394711152,505.102016844,7,1,4.841400000000003,True
CHEMBL4878958,0.13,nM,COc1ncc2cc1NS(=O)(=O)c1ccc(F)c(c1)C(=O)NCc1ccc(s1)-c1ncnc3c(C)c-2sc13,9.886056647693163,567.0504952760001,9,2,4.982120000000003,True
CHEMBL3660111,0.14,nM,CCc1ncnc(N2CCN(S(C)(=O)=O)CC2)c1C#Cc1cnc(C)c(NS(=O)(=O)c2ccc(F)cc2)c1,9.853871964321762,558.151923564,8,1,2.1637200000000005,True
CHEMBL3660114,0.2,nM,Cc1ncc(C#Cc2c(C)ncnc2N2CCOC[C@@H]2C)cc1NS(=O)(=O)c1ccccc1,9.698970004336019,463.16781066,7,1,2.9141400000000015,True
CHEMBL4780201,0.2,nM,COc1ncc(-c2ccc3ncnc(Nc4cnn(CCO)c4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,9.698970004336019,553.134379592,10,3,3.711800000000002,True
CHEMBL1808977,0.2,nM,CN(C)CCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(O[C@H]4CCOC4)nc(N4CCOCC4)n3)cc2)cc1,9.698970004336019,590.2965163160001,10,2,2.820500000000001,True
CHEMBL4860369,0.23,nM,COc1ncc2cc1NS(=O)(=O)c1cccc(c1)C(=O)NCc1ccc(s1)-c1ncnc3c(C)c-2sc13,9.638272163982407,549.059917088,9,2,4.843020000000003,True
CHEMBL3577913,0.27,nM,COc1ncc(-c2ccc3nncc(-c4ccncc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,9.568636235841012,505.102016844,7,1,4.841400000000003,True
CHEMBL3655894,0.28,nM,Cc1ncc(C#Cc2c(C)ncnc2N2CCOCC2)cc1NS(=O)(=O)c1ccccc1,9.55284196865778,449.152160596,7,1,2.525640000000001,True
CHEMBL3577926,0.3,nM,O=S(=O)(Nc1cc(-c2cc3c(-c4ccncc4)ncnc3s2)cnc1Cl)c1ccc(F)cc1,9.522878745280337,497.01832255600004,7,1,5.408600000000002,True
CHEMBL3660127,0.3,nM,COc1ncc(C#Cc2c(C)ncnc2N2CCOCC2)cc1NS(=O)(=O)c1ccc(Cl)cc1,9.522878745280337,499.108102864,8,1,2.879220000000001,True
