,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,0,CHEMBL941,0.06,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,10.221848749616356,493.2590086120001,7,2,4.590320000000004,True
1,1,CHEMBL5221067,0.14,nM,N#Cc1c(NC(=O)CNc2n[nH]c3ncccc23)sc2c1CCCC2,9.853871964321762,352.110630132,6,3,2.8204800000000008,True
3,3,CHEMBL437890,0.5,nM,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Br)c4)ncnc3cn2)CC1,9.30102999566398,511.11314867600015,7,2,3.2494000000000014,True
4,4,CHEMBL203599,0.7,nM,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,9.154901959985745,467.1636642560001,7,2,3.1403000000000016,True
5,5,CHEMBL204638,0.7,nM,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,9.154901959985745,498.0815142000001,7,2,3.334200000000001,True
6,6,CHEMBL203661,0.8,nM,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.096910013008056,454.13202978000004,7,2,3.225100000000001,True
9,9,CHEMBL4075917,1.0,nM,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3ccc(F)cc3O)cc12,9.0,454.180504196,5,4,5.590520000000004,True
10,10,CHEMBL4105329,1.0,nM,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(Cl)ccc3O)cc12,9.0,470.150953656,5,4,6.104820000000005,True
11,11,CHEMBL258282,1.0,nM,CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,9.0,494.194549784,9,2,3.350100000000001,True
14,14,CHEMBL483332,1.0,nM,C[C@H](CN(C)C)Oc1cccc2ncnc(Nc3ccc(OCc4cnccn4)c(Cl)c3)c12,9.0,464.17275172000006,8,1,4.724700000000004,True
15,15,CHEMBL4067871,1.0,nM,OC[C@H](Nc1cnc(-c2cc(Cl)ccc2O)c(-c2ccc3cnccc3c2)c1)c1ccccc1,9.0,467.140054624,5,3,6.468300000000006,True
16,16,CHEMBL5176920,1.06,nM,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1cc2nccn2cn1,8.97469413473523,536.2284367560001,10,3,4.811320000000003,True
17,17,CHEMBL54091,1.1,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,8.958607314841775,387.0131002920001,5,2,3.794500000000002,True
18,18,CHEMBL203644,1.1,nM,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.958607314841775,355.0636158720001,5,2,3.5227000000000013,True
19,19,CHEMBL2048789,1.3,nM,O=C1NCc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc21,8.886056647693163,435.109817116,7,3,3.856300000000002,True
21,21,CHEMBL5179954,1.4,nM,Cc1cc(Nc2ncnc3ccc(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1cc2nncn2cn1,8.853871964321762,521.2287711040001,10,2,4.500720000000003,True
22,22,CHEMBL5193451,1.43,nM,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1ccn2ncnc2c1,8.844663962534938,536.2284367560001,10,3,4.811320000000003,True
23,23,CHEMBL2048795,1.5,nM,O=C1Cc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c2N1,8.823908740944319,435.109817116,7,3,4.107500000000001,True
24,24,CHEMBL2048796,1.6,nM,O=C1Cc2c(cccc2Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)N1,8.795880017344075,435.109817116,7,3,4.107500000000001,True
25,25,CHEMBL2048906,1.6,nM,CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,8.795880017344075,478.097872528,8,2,5.366400000000003,True
28,28,CHEMBL2048903,1.7,nM,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5[nH]ncc45)c(Cl)c3)c21,8.769551078621726,420.11015146400007,7,3,4.489200000000003,True
29,29,CHEMBL202360,1.9,nM,C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.721246399047171,366.011623072,4,2,3.707600000000001,True
31,31,CHEMBL5175489,1.93,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Oc4cc5nncn5cn4)c(C)c3)ncnc2cc1OCC,8.714442690992227,482.18148656400007,10,2,4.435020000000002,True
33,33,CHEMBL1173655,2.0,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,8.698970004336019,485.16299556,7,2,4.389900000000002,True
34,34,CHEMBL2103842,2.0,nM,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1,8.698970004336019,466.0978725280001,9,2,5.2489000000000035,True
35,35,CHEMBL3968417,2.0,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.698970004336019,400.12146509600007,6,2,3.6172000000000004,True
36,36,CHEMBL518750,2.0,nM,CC(C)(Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(N)=O,8.698970004336019,463.141117244,7,2,4.643500000000003,True
37,37,CHEMBL402553,2.0,nM,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCC4)c23)ccc1OCc1ccccn1,8.698970004336019,465.168000688,8,2,4.198500000000003,True
38,38,CHEMBL403569,2.0,nM,O=C(CO)N1CCC[C@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,8.698970004336019,519.1673319920001,8,2,4.362900000000003,True
39,39,CHEMBL497459,2.0,nM,CN(C)/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,8.698970004336019,404.187320892,8,2,3.235000000000002,True
41,41,CHEMBL2048904,2.1,nM,Cn1ncc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,8.67778070526608,434.125801528,8,2,4.499600000000004,True
42,42,CHEMBL2048905,2.1,nM,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,8.67778070526608,437.071323432,8,2,5.222600000000003,True
43,43,CHEMBL1923009,2.1,nM,OCCOCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,8.67778070526608,458.09124585999996,7,2,5.282900000000003,True
44,44,CHEMBL4522240,2.1,nM,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCN1CCNCCNCCNCC1,8.67778070526608,637.294344072,10,4,4.6068000000000024,True
45,45,CHEMBL202411,2.1,nM,O=C(C#CCO)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,8.67778070526608,370.063281524,5,3,3.1001000000000003,True
46,46,CHEMBL205059,2.1,nM,O=C(C#CCCN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.67778070526608,452.15276522400006,6,2,4.378800000000003,True
48,48,CHEMBL2048788,2.3,nM,CC(C)(C)NC(=O)c1cccc(Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)c1,8.638272163982407,479.172417372,7,3,5.141200000000004,True
49,49,CHEMBL204085,2.3,nM,O=C(C#CCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,8.638272163982407,453.13678081200004,6,2,3.8301000000000016,True
50,50,CHEMBL378144,2.4,nM,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.619788758288394,367.0068720400001,5,2,3.1026000000000016,True
51,51,CHEMBL5190132,2.41,nM,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1cnc2ccnn2c1,8.61798295742513,536.2284367560001,10,3,4.811320000000003,True
52,52,CHEMBL2048794,2.5,nM,O=C1NCc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c21,8.602059991327963,435.109817116,7,3,3.856300000000002,True
53,53,CHEMBL2048797,2.5,nM,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5[nH]ccc45)c(Cl)c3)c21,8.602059991327963,419.114902496,6,3,5.094200000000003,True
54,54,CHEMBL5203179,2.55,nM,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4cc5nncn5cn4)c(C)c3)c2c1,8.593459819566045,496.19713662800007,10,2,3.6876200000000017,True
55,55,CHEMBL382073,2.6,nM,CCN(CC)CCC#CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,8.585026652029182,439.157516256,5,2,4.839700000000004,True
56,56,CHEMBL380669,2.8,nM,CC(C)N(CC#CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)C(C)C,8.55284196865778,453.17316632,5,2,5.226600000000004,True
57,57,CHEMBL1923022,2.8,nM,CS(=O)(=O)O.O=C(CCO)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.55284196865778,615.11661686,9,4,4.642000000000002,True
58,58,CHEMBL5175873,2.85,nM,Cc1cc(Nc2ncnc3ccc(NC(=O)/C=C/CN(C)C)cc23)ccc1Oc1cc2nncn2cn1,8.54515513999149,495.2131210400001,10,2,3.9681200000000025,True
60,60,CHEMBL2148050,2.9,nM,CS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,8.537602002101044,533.069130512,8,2,4.434800000000004,True
61,61,CHEMBL257430,3.0,nM,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCNCC4)c23)ccc1OCc1ccccn1,8.522878745280337,480.17889972000006,9,3,3.0079000000000002,True
62,62,CHEMBL53555,3.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.522878745280337,343.06361587200007,5,2,3.6854000000000013,True
63,63,CHEMBL255135,3.0,nM,CNCCOc1n[nH]c2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,8.522878745280337,425.13670056,8,3,3.3221000000000016,True
64,64,CHEMBL2408045,3.0,nM,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,8.522878745280337,473.16299556000007,7,2,3.763700000000002,True
65,65,CHEMBL402339,3.0,nM,COc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc1cccc(F)c1,8.522878745280337,508.22343162799996,9,3,3.6587000000000023,True
67,67,CHEMBL1923003,3.3,nM,Cn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,8.481486060122112,384.05446642799996,5,1,5.811000000000002,True
70,70,CHEMBL5182567,3.5,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc4[nH]cc(Br)c4c3)c2c1,8.455931955649724,407.038172168,4,3,4.7417000000000025,True
72,72,CHEMBL4755170,3.5,nM,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc5[nH]c(Cc6ccccc6)nc5c4)c23)c1,8.455931955649724,485.19640835600006,5,4,5.960100000000003,True
79,79,CHEMBL566233,3.8,nM,O=C(NO)[C@H]1C[C@H](OC(=O)N2CCCC2)CN[C@@H]1C(=O)N1CCN(c2ccccc2)CC1,8.42021640338319,445.2325190920001,7,3,0.41970000000000196,True
80,80,CHEMBL572091,3.8,nM,CN1C[C@@H](OC(=O)N2CC=CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,8.42021640338319,457.2325190920001,7,2,0.5379000000000027,True
82,82,CHEMBL203645,3.8,nM,CCCC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.42021640338319,383.0949160000001,5,2,4.302900000000003,True
83,83,CHEMBL51659,3.9,nM,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.4089353929735,369.0225221040001,5,2,3.655400000000002,True
87,87,CHEMBL257861,4.0,nM,OCCOc1n[nH]c2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,8.397940008672037,412.10506608400004,8,3,3.0950000000000006,True
88,88,CHEMBL272935,4.0,nM,CN1CCN(CCCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,8.397940008672037,508.210199848,9,2,3.7402000000000024,True
89,89,CHEMBL249928,4.0,nM,CN(CCOc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)CO,8.397940008672037,493.15168192799996,8,2,3.8303000000000025,True
90,90,CHEMBL1645474,4.0,nM,NC1CCN(Cc2ccn3ncnc(Nc4cccc(Br)c4)c23)CC1,8.397940008672037,400.101106772,6,2,3.1585,True
91,91,CHEMBL411897,4.0,nM,COC1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,8.397940008672037,509.194215436,9,2,4.2135000000000025,True
92,92,CHEMBL479171,4.0,nM,OCc1ccc(-c2cc3c(Nc4ccc(OCc5ccccc5)cc4)ncnc3cn2)o1,8.397940008672037,424.1535405000001,7,2,5.099700000000004,True
94,94,CHEMBL1645473,4.0,nM,NC1CCN(Cc2ccn3ncnc(Nc4cccc(Cl)c4)c23)CC1,8.397940008672037,356.151622352,6,2,3.0494000000000003,True
95,95,CHEMBL3959248,4.0,nM,COCCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,8.397940008672037,551.264487916,9,2,4.8529000000000035,True
96,96,CHEMBL1080506,4.0,nM,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,8.397940008672037,538.1895446560001,7,3,4.443420000000002,True
97,97,CHEMBL5183924,4.05,nM,C=C(F)C(=O)Nc1cc2c(Nc3ccc(Oc4cc5nncn5cn4)c(C)c3)ncnc2cc1OCC,8.39254497678533,500.17206475200015,10,2,4.7322200000000025,True
98,98,CHEMBL1923006,4.1,nM,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21,8.387216143280265,414.065031112,6,2,5.266300000000003,True
99,99,CHEMBL2148051,4.1,nM,CC(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O,8.387216143280265,547.0847805759998,8,2,4.823300000000003,True
101,101,CHEMBL288812,4.2,nM,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccncc2)cc1,8.3767507096021,363.20591042000007,4,2,4.347400000000003,True
102,102,CHEMBL569166,4.3,nM,O=C(NO)[C@H]1CC(CC(=O)N2CCCC2)CN[C@@H]1C(=O)N1CC=C(c2ccccc2)CC1,8.366531544420413,440.242355504,5,3,1.4145000000000005,True
103,103,CHEMBL1923019,4.3,nM,O=C(CO)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.366531544420413,505.112851808,7,3,4.747900000000002,True
105,105,CHEMBL31373,4.3,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,8.366531544420413,342.068366904,4,2,4.290400000000002,True
106,106,CHEMBL572302,4.4,nM,CN1C[C@@H](OC(=O)N2CCCCCC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,8.356547323513812,487.279469284,7,2,1.5421000000000018,True
109,109,CHEMBL1922999,4.6,nM,Cc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,8.337242168318426,350.09343878000004,4,2,5.455620000000002,True
112,112,CHEMBL3353410,4.8,nM,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,8.318758762624412,499.2695732960001,8,2,4.509800000000003,True
114,114,CHEMBL1645470,5.0,nM,Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,8.301029995663981,336.206244768,6,2,2.7044200000000007,True
117,117,CHEMBL257873,5.0,nM,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2F)cn1,8.301029995663981,479.208115912,9,3,3.5668200000000008,True
118,118,CHEMBL403435,5.0,nM,Cc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc1ccccn1,8.301029995663981,475.23318778799995,9,3,3.2144200000000014,True
119,119,CHEMBL404405,5.0,nM,OC1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,8.301029995663981,495.178565372,9,3,3.559400000000002,True
122,122,CHEMBL136058,5.0,nM,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,8.301029995663981,539.1280497920002,8,3,2.8641000000000005,True
123,123,CHEMBL1923010,5.1,nM,OCCOCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.292429823902063,492.11760283999996,7,2,5.648300000000003,True
124,124,CHEMBL3545154,5.3,nM,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,8.275724130399212,490.09747411200004,6,1,5.383700000000005,True
126,126,CHEMBL4793338,5.4,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCC(=O)NO)nn1,8.267606240177031,526.12800702,10,4,3.3564000000000007,True
127,127,CHEMBL202424,5.4,nM,CCCCC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,8.267606240177031,397.1105660640001,5,2,4.693000000000003,True
128,128,CHEMBL576061,5.6,nM,O=C(NO)[C@H]1CC(CC(=O)N2CCCC2)CN[C@@H]1C(=O)N1CC[C@H](c2ccccc2)C1,8.2518119729938,428.242355504,5,3,1.114700000000001,True
129,129,CHEMBL569388,5.6,nM,O=C(NO)[C@H]1CC(OC(=O)N2CCCC2)CN[C@@H]1C(=O)N1CC=C(c2ccccc2)CC1,8.2518119729938,442.22162006,6,3,1.3868000000000005,True
132,132,CHEMBL4759072,5.7,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,8.244125144327509,540.1436570840001,10,4,3.746500000000001,True
133,133,CHEMBL285063,5.7,nM,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.244125144327509,368.027273136,4,2,4.260400000000002,True
134,134,CHEMBL1645472,6.0,nM,NC1CCN(Cc2ccn3ncnc(Nc4cccc(F)c4)c23)CC1,8.221848749616356,340.181172892,6,2,2.5351,True
136,136,CHEMBL1645471,6.0,nM,Cc1ccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)cc1,8.221848749616356,336.206244768,6,2,2.7044200000000007,True
137,137,CHEMBL587723,6.0,nM,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,8.221848749616356,440.2688450240001,5,2,4.935500000000003,True
138,138,CHEMBL2048798,6.0,nM,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sccc45)c(Cl)c3)c21,8.221848749616356,436.076074464,7,2,5.827600000000003,True
139,139,CHEMBL255237,6.0,nM,COCCO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,8.221848749616356,435.18190116400007,9,2,3.336400000000001,True
140,140,CHEMBL1645476,6.0,nM,NC1CCN(Cc2ccn3ncnc(Nc4ccc(F)c(Cl)c4)c23)CC1,8.221848749616356,374.14220054,6,2,3.1885000000000003,True
141,141,CHEMBL257860,6.0,nM,OC1CCN(CCCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,8.221848749616356,509.194215436,9,3,3.949500000000003,True
142,142,CHEMBL3892310,6.0,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21,8.221848749616356,511.178645624,7,2,4.493400000000002,True
143,143,CHEMBL256784,6.0,nM,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12)C(=O)N(C)C,8.221848749616356,484.20230226,7,1,4.766000000000004,True
144,144,CHEMBL4796265,6.1,nM,CN1CCN(CC(=O)Nc2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)CC1,8.214670164989233,534.1946300359999,7,2,4.930800000000003,True
146,146,CHEMBL4759112,6.2,nM,CN(C)C/C=C/C(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1O[C@@H]1CCOC1,8.207608310501746,485.16299555999996,7,2,4.389900000000003,True
147,147,CHEMBL2148044,6.3,nM,CS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.200659450546418,567.095487492,8,2,4.800200000000004,True
148,148,CHEMBL1093234,6.3,nM,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,8.200659450546418,488.14193026000004,7,2,6.515700000000005,True
149,149,CHEMBL5180965,6.31,nM,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1ccn2cnnc2c1,8.199970640755865,536.2284367560001,10,3,4.811320000000003,True
150,150,CHEMBL31419,6.4,nM,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCOCC1,8.193820026016112,511.121901792,7,2,4.361500000000004,True
153,153,CHEMBL3989868,6.9,nM,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,8.161150909262744,480.20222200800004,10,2,5.093520000000003,True
154,154,CHEMBL498133,7.0,nM,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCOCC1,8.154901959985743,446.19788557600003,9,2,3.005600000000001,True
156,156,CHEMBL1645466,7.0,nM,C#Cc1cccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)c1,8.154901959985743,346.190594704,6,2,2.377300000000001,True
157,157,CHEMBL402294,7.0,nM,CCO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,8.154901959985743,405.17133648000004,8,2,3.709900000000002,True
161,161,CHEMBL280757,7.3,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,8.136677139879545,386.01785132400005,4,2,4.399500000000002,True
163,163,CHEMBL584116,7.3,nM,CN1C[C@@H](OC(=O)N2CCCCC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,8.136677139879545,473.2638192200001,7,2,1.1520000000000021,True
164,164,CHEMBL4744985,7.3,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCCC(=O)NO)nn1,8.136677139879545,554.1593071479999,10,4,4.136600000000002,True
166,166,CHEMBL430571,7.6,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,8.119186407719209,396.15862588,5,2,5.076900000000003,True
167,167,CHEMBL1923013,7.7,nM,OCCNCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.113509274827518,491.133587252,7,3,5.221300000000003,True
168,168,CHEMBL4758224,7.9,nM,C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc5c(ccn5Cc5ccccc5)c4)c23)c1,8.102372908709558,484.201159388,5,3,6.496000000000005,True
169,169,CHEMBL1922901,8.0,nM,N#Cc1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,8.096910013008056,361.07303768400004,5,2,5.018880000000002,True
170,170,CHEMBL4794998,8.0,nM,C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,8.096910013008056,540.1436570840001,10,4,3.746500000000001,True
171,171,CHEMBL498134,8.0,nM,CN1CCN(/N=C/c2c(N)ncnc2Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)CC1,8.096910013008056,459.22952005200005,9,2,2.9208000000000007,True
172,172,CHEMBL256783,8.0,nM,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12)C(=O)N(C)C,8.096910013008056,484.20230226,7,1,4.766000000000004,True
175,175,CHEMBL514566,8.0,nM,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCN(CCO)CC1,8.096910013008056,489.24008473600003,10,3,2.2832999999999997,True
176,176,CHEMBL585886,8.1,nM,COC(=O)N1C[C@@H](OC(=O)N2CCCC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1,8.09151498112135,503.237998396,8,2,0.8985000000000027,True
177,177,CHEMBL342828,8.1,nM,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,8.09151498112135,520.0970840120002,8,3,3.428600000000001,True
178,178,CHEMBL4068839,8.1,nM,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(OCc4ccccn4)c(Cl)c3)c3c(N)ncnc32)C1,8.09151498112135,489.16800068800006,8,1,4.052400000000002,True
179,179,CHEMBL27685,8.2,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cc1OCCCN1CCOCC1,8.086186147616283,529.11247998,7,2,4.500600000000004,True
180,180,CHEMBL1922902,8.2,nM,N#Cc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,8.086186147616283,361.073037684,5,2,5.018880000000001,True
181,181,CHEMBL1921812,8.3,nM,Clc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,8.080921907623926,370.038816364,4,2,5.800600000000003,True
186,186,CHEMBL572301,8.5,nM,CC(C)OC(=O)N(C)C1CN[C@H](C(=O)N2CC=C(c3ccccc3)CC2)[C@@H](C(=O)NO)C1,8.070581074285707,444.23727012399996,6,3,1.6312000000000004,True
187,187,CHEMBL53203,8.6,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1,8.065501548756432,382.142975816,5,2,5.290200000000003,True
190,190,CHEMBL54088,8.8,nM,C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1,8.05551732784983,305.12766010000007,5,2,3.201320000000001,True
191,191,CHEMBL206029,9.0,nM,CS(=O)(=O)CCNC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,8.045757490560675,608.1408802120002,8,3,4.230300000000002,True
