,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1343,1343,CHEMBL3940060,1600.0,nM,O=C(CCl)OCCn1c(=O)oc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,5.795880017344075,450.029788476,8,1,3.855800000000002,True
1344,1344,CHEMBL462162,1600.0,nM,COc1cc(Nc2ncnc3[nH]ccc23)ccc1-c1nc2ccccc2s1,5.795880017344075,373.09973110000004,6,2,4.986800000000002,True
1345,1345,CHEMBL281300,1630.0,nM,C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,5.787812395596042,392.0272731360001,4,2,4.737080000000002,True
1346,1346,CHEMBL3133818,1640.0,nM,CC(=O)c1ccc2[nH]c3nccc(Nc4cccc(N)c4)c3c2c1,5.785156151952302,316.132411132,4,3,4.244500000000001,True
1347,1347,CHEMBL954,1669.0,nM,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,5.777543663320753,405.185942196,2,0,6.562600000000006,True
1348,1348,CHEMBL193282,1700.0,nM,C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21,5.769551078621726,451.0881163680001,9,1,3.791400000000002,True
1350,1350,CHEMBL488564,1700.0,nM,COc1cc2nccc(Nc3ccc(N4C(=O)c5ccc(Cl)cc5C4=O)c(C)c3)c2cc1OC,5.769551078621726,473.1142337999999,6,1,5.758020000000005,True
1351,1351,CHEMBL2325110,1750.0,nM,NC(=S)N1N=C(c2ccc(F)cc2)CC1c1ccc2ccccc2c1,5.756961951313706,349.104896732,2,1,4.373600000000002,True
1352,1352,CHEMBL14874,1778.0,nM,CN(CCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)CCS(C)(=O)=O,5.750068243365805,520.2144265039999,8,1,4.697700000000004,True
1353,1353,CHEMBL592480,1780.0,nM,O=C1CSC(N/N=C/c2cc(Cl)ccc2O)=N1,5.7495799976911055,269.002575176,5,2,1.5984999999999998,True
1354,1354,CHEMBL1683959,1800.0,nM,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=N/OCCCN1CCOCC1,5.7447274948966935,513.194295688,8,1,4.972920000000005,True
