molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL5209870,0.4,nM,COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCOc4ccccc4C(N)=O)c(C)c3)nc2c1,9.397940008672037,489.189985584,7,2,3.780840000000002,True
CHEMBL5075294,0.5,nM,[2H]C([2H])([2H])c1nnn(C)c1-c1cc2c(cc1F)c1ncc(C(C)(C)O)cc1n2[C@@H](CCC)c1ncccc1F,9.301029995663981,493.2480961940001,7,1,5.583520000000005,True
CHEMBL5090513,0.6,nM,[2H]C([2H])([2H])c1nnn(C)c1-c1cc2c(cc1F)c1ncc(C(C)(C)O)cc1n2[C@H](c1cc(C)on1)C1CCOCC1,9.221848749616356,521.2629973100001,9,1,4.972340000000004,True
CHEMBL5089688,0.6,nM,Cc1nnn(C)c1-c1ccc2c3ncc(C(C)(C)O)cc3n([C@H](c3ccccc3)C3CCOCC3)c2c1,9.221848749616356,495.26342529600004,7,1,5.536820000000006,True
CHEMBL3785440,0.7,nM,Cn1cc2c3c(c[nH]c3c1=O)CN(c1ncc(F)cc1F)c1ccc(CS(C)(=O)=O)cc1-2,9.154901959985743,456.106767876,6,1,3.403100000000002,True
CHEMBL4297458,0.8,nM,Cc1nnn(C)c1-c1cnc2c3ccc(C(C)(C)O)cc3n([C@H](c3ccccc3)C3CCOCC3)c2c1,9.096910013008056,495.26342529600004,7,1,5.536820000000006,True
CHEMBL5204989,0.9,nM,Cc1nnn(C)c1-c1cnc2c3ccc(S(C)(=O)=O)cc3n([C@H](c3ccccc3)C3CCOCC3)c2c1,9.045757490560675,515.199110788,8,0,4.712920000000004,True
CHEMBL4075567,0.93,nM,CCS(=O)(=O)c1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(Cl)ccc1O2,9.031517051446064,473.1063715479999,6,0,5.006700000000005,True
CHEMBL3786682,1.0,nM,Cn1cc2c3c(c[nH]c(=O)c31)CN(c1ccccn1)c1ccc(CS(C)(=O)=O)cc1-2,9.0,420.1256115,6,1,3.124900000000002,True
CHEMBL4208405,1.1,nM,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-c3c(C)[nH]c4ccccc34)c12,8.958607314841775,423.16952491200004,5,2,5.848260000000004,True
CHEMBL4863199,1.2,nM,[2H]C([2H])([2H])c1nnn(C)c1-c1cnc2c3ccc(C(C)(C)O)cc3n([C@H](c3cc(C)on3)C3CCOCC3)c2c1,8.920818753952375,503.27241912200003,9,1,4.833240000000004,True
CHEMBL5185824,1.2,nM,[2H]C([2H])([2H])c1nnn(C)c1-c1cnc2c3ccc(C(C)(C)O)cc3n([C@H](c3ccccc3)C3CCOCC3)c2c1,8.920818753952375,498.282255534,7,1,5.536820000000005,True
CHEMBL4105618,1.3,nM,CCS(=O)(=O)c1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(F)cc(F)c1O2,8.886056647693163,475.12650027599994,6,0,4.631500000000004,True
CHEMBL4869203,1.4,nM,[2H]C([2H])([2H])c1nnn(C)c1-c1cnc2c3cc(F)c(C(C)(C)O)cc3n([C@H](c3cc(C)on3)C3CCOCC3)c2c1,8.853871964321762,521.2629973100001,9,1,4.972340000000004,True
CHEMBL4212498,1.5,nM,Cn1cc2c3c(c[nH]c3c1=O)CN(c1ccc(F)cc1)c1ccc(CS(C)(=O)=O)cc1-2,8.823908740944319,437.1209407199999,5,1,3.8690000000000024,True
CHEMBL4857742,1.6,nM,Cc1cc([C@H](C2CCOCC2)n2c3cc(C(C)(C)O)ccc3c3ncc(-c4c(C)nnn4C)cc32)no1,8.795880017344075,500.2535888840001,9,1,4.833240000000004,True
CHEMBL4593553,1.7,nM,COc1nnc2ccc(N3CCC(c4ccc(OCCN5CCN(C)C(=O)C5C)cc4)CC3)nn12,8.769551078621726,479.26448791600006,9,0,2.0581999999999994,True
CHEMBL5179686,1.7,nM,[2H]C([2H])([2H])c1nnn(C)c1-c1cnc2c3ccc(S(C)(=O)=O)cc3n([C@H](c3ccccc3)C3CCOCC3)c2c1,8.769551078621726,518.2179410260001,8,0,4.712920000000005,True
CHEMBL4208129,1.7,nM,Cn1cc2c3c(c[nH]c3c1=O)CN(c1ccccn1)c1ccc(CS(C)(=O)=O)cc1-2,8.769551078621726,420.1256115,6,1,3.124900000000002,True
CHEMBL4444009,1.8,nM,Cn1cc2c3c(c[nH]c(=O)c31)CN(c1ccc(F)cc1F)c1ccc(CS(C)(=O)=O)cc1-2,8.744727494896694,455.11151890799994,5,1,4.008100000000002,True
CHEMBL5087175,1.9,nM,Cc1noc(C)c1-c1cnc2c3ccc(C(C)(C)O)cc3n([C@H](c3ccccc3)C3CCOCC3)c2c1,8.721246399047171,495.252191916,6,1,6.704740000000007,True
CHEMBL4875203,2.0,nM,[2H]C([2H])([2H])c1nnn(C)c1-c1cnc2c3ccc(C(C)(C)O)c(F)c3n([C@H](c3cc(C)on3)C3CCOCC3)c2c1,8.698970004336019,521.2629973100001,9,1,4.972340000000004,True
CHEMBL4086168,2.0,nM,CCN1C(=O)C(C)(C)c2cc3nc(-c4cc(C)c(=O)n(C)c4)n([C@@H](C)c4ccccc4)c3cc21,8.698970004336019,454.2368762,5,0,4.9638200000000055,True
CHEMBL3921106,2.0,nM,Cc1noc(C)c1-c1cc(C(O)(c2cccnn2)C2CCCO2)c2nc(C3CC3)[nH]c2c1,8.698970004336019,431.19573966,7,2,3.917040000000002,True
CHEMBL4095826,2.0,nM,CCNC(=O)CC1N=C(C2CCCCC2)c2cc(OC)ccc2-c2cn(C)c(=O)cc21,8.698970004336019,421.236541852,5,1,4.011200000000003,True
CHEMBL4293904,2.0,nM,Cc1nnn2c1-c1ccc(-c3cc[nH]n3)cc1C(c1ccc(Cl)cc1)=NC2,8.698970004336019,374.10467216,5,1,4.105520000000003,True
CHEMBL3786559,2.0,nM,CCS(=O)(=O)c1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(F)ccc1O2,8.698970004336019,457.1359220879999,6,0,4.492400000000004,True
CHEMBL4173488,2.0,nM,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4CC4)nn3C)c12,8.698970004336019,443.2069730400001,8,2,5.054460000000003,True
CHEMBL3932024,2.189,nM,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCc1cnc[nH]1)c1nnc(C)n1-2,8.659754238432068,493.1451570680001,7,2,4.271660000000003,True
CHEMBL4211497,2.2,nM,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-c3c[nH]c4ccc(F)cc34)c12,8.657577319177793,427.144453036,5,2,5.6789400000000025,True
CHEMBL4213481,2.3,nM,Cn1cc2c3c(c[nH]c(=O)c31)-c1cc(CS(C)(=O)=O)ccc1N(c1ccccn1)C2,8.638272163982407,420.12561150000005,6,1,3.124900000000002,True
CHEMBL4214978,2.3,nM,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-c3c(C)[nH]c4ccc(F)cc34)c12,8.638272163982407,441.1601031,5,2,5.987360000000003,True
CHEMBL4871769,2.3,nM,Cc1cc([C@H](C2CCOCC2)n2c3cc(C(C)(C)O)ccc3c3ncc(-c4c(C)nnn4C)cc32)n(C)n1,8.638272163982407,513.2852233600001,9,1,4.578740000000003,True
CHEMBL3900452,2.493,nM,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCN1CCN(C)CC1)c1nnc(C)n1-2,8.603277721496227,525.2077573240001,8,1,3.5532600000000034,True
CHEMBL4215988,2.5,nM,Cn1cc2c3c(c[nH]c(=O)c31)-c1cc(CS(C)(=O)=O)ccc1N(c1ccc(F)cc1)C2,8.602059991327963,437.12094072,5,1,3.8690000000000024,True
CHEMBL4440098,2.6,nM,CCS(=O)(=O)Cc1cnc(Oc2ccc(F)cc2F)c(-c2cc(C)c3c(=O)[nH]ccn23)c1,8.585026652029182,459.106433528,6,1,4.003220000000002,True
